[2278, 1778]
[folio, [93.0, 46.0, 288.0, 36.0], 02keTaFit7, 5755213]
[placeholder-text, [1255.0, 2043.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 2061.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 2079.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 2097.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 2115.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [937.0, 1766.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1784.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1802.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1820.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1838.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1856.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1874.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1892.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1910.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1928.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1946.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1964.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 1982.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 2000.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 2018.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 2036.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 2054.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 2072.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[placeholder-text, [937.0, 2090.0, 253.0, 18.0], pfQ3y0rZnx, 5755213]
[options, [260.0, 1777.0, 582.0, 36.0], n4BZvoWYqG, 5755213]
[options, [260.0, 1813.0, 582.0, 36.0], n4BZvoWYqG, 5755213]
[options, [260.0, 1849.0, 582.0, 36.0], n4BZvoWYqG, 5755213]
[options, [260.0, 1885.0, 582.0, 36.0], n4BZvoWYqG, 5755213]
[options, [260.0, 1921.0, 582.0, 36.0], n4BZvoWYqG, 5755213]
[options, [260.0, 1957.0, 582.0, 36.0], n4BZvoWYqG, 5755213]
[options, [260.0, 1993.0, 582.0, 36.0], n4BZvoWYqG, 5755213]
[options, [260.0, 2029.0, 582.0, 36.0], n4BZvoWYqG, 5755213]
[options, [260.0, 2065.0, 582.0, 36.0], n4BZvoWYqG, 5755213]
