[1625, 1211]
[section-title, [798.0, 99.0, 297.0, 49.5], -Hvuiy7pTn, 5742323]
[paragraph, [78.0, 396.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [78.0, 432.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [78.0, 468.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [787.0, 250.0, 340.0, 36.0], DBDMi0xipV, 5742323]
[paragraph, [787.0, 286.0, 340.0, 36.0], DBDMi0xipV, 5742323]
[paragraph, [787.0, 322.0, 340.0, 36.0], DBDMi0xipV, 5742323]
[paragraph, [787.0, 358.0, 340.0, 36.0], DBDMi0xipV, 5742323]
[paragraph, [787.0, 394.0, 340.0, 36.0], DBDMi0xipV, 5742323]
[paragraph, [787.0, 430.0, 340.0, 36.0], DBDMi0xipV, 5742323]
[paragraph, [787.0, 466.0, 340.0, 36.0], DBDMi0xipV, 5742323]
[paragraph, [786.0, 526.0, 347.0, 36.0], SVCk-1y1nS, 5742323]
[paragraph, [786.0, 562.0, 347.0, 36.0], SVCk-1y1nS, 5742323]
[paragraph, [75.0, 565.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 601.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 637.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 673.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 709.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 745.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 781.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 817.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 853.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 889.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[paragraph, [75.0, 925.0, 352.0, 36.0], Uc-gf4nMfO, 5742323]
[section-title, [831.0, 625.0, 302.0, 49.5], 97KJPoLtE-, 5742323]
[paragraph, [435.0, 628.0, 343.0, 36.0], SeN8QBh_js, 5742323]
[paragraph, [435.0, 664.0, 343.0, 36.0], SeN8QBh_js, 5742323]
[paragraph, [435.0, 700.0, 343.0, 36.0], SeN8QBh_js, 5742323]
[paragraph, [435.0, 736.0, 343.0, 36.0], SeN8QBh_js, 5742323]
[paragraph, [435.0, 772.0, 343.0, 36.0], SeN8QBh_js, 5742323]
[paragraph, [435.0, 808.0, 343.0, 36.0], SeN8QBh_js, 5742323]
[paragraph, [789.0, 698.0, 340.0, 36.0], k2lksldg7l, 5742323]
[paragraph, [789.0, 734.0, 340.0, 36.0], k2lksldg7l, 5742323]
[paragraph, [789.0, 770.0, 340.0, 36.0], k2lksldg7l, 5742323]
[paragraph, [789.0, 806.0, 340.0, 36.0], k2lksldg7l, 5742323]
[section-title, [455.0, 860.0, 312.0, 49.5], AoExhikPsK, 5742323]
[section-title, [455.0, 909.5, 312.0, 49.5], AoExhikPsK, 5742323]
[paragraph, [796.0, 867.0, 341.0, 36.0], -YGFx_Isdi, 5742323]
[paragraph, [796.0, 903.0, 341.0, 36.0], -YGFx_Isdi, 5742323]
[paragraph, [796.0, 939.0, 341.0, 36.0], -YGFx_Isdi, 5742323]
[paragraph, [796.0, 975.0, 341.0, 36.0], -YGFx_Isdi, 5742323]
[paragraph, [796.0, 1011.0, 341.0, 36.0], -YGFx_Isdi, 5742323]
[paragraph, [796.0, 1047.0, 341.0, 36.0], -YGFx_Isdi, 5742323]
[paragraph, [432.0, 978.0, 340.0, 36.0], IidRm0-In_, 5742323]
[paragraph, [432.0, 1014.0, 340.0, 36.0], IidRm0-In_, 5742323]
[paragraph, [432.0, 1050.0, 340.0, 36.0], IidRm0-In_, 5742323]
[paragraph, [432.0, 1086.0, 340.0, 36.0], IidRm0-In_, 5742323]
[paragraph, [432.0, 1122.0, 340.0, 36.0], IidRm0-In_, 5742323]
[paragraph, [432.0, 1158.0, 340.0, 36.0], IidRm0-In_, 5742323]
[paragraph, [432.0, 1194.0, 340.0, 36.0], IidRm0-In_, 5742323]
[paragraph, [432.0, 1230.0, 340.0, 36.0], IidRm0-In_, 5742323]
[paragraph, [432.0, 1266.0, 340.0, 36.0], IidRm0-In_, 5742323]
[paragraph, [77.0, 984.0, 346.0, 36.0], IR3lGatyUE, 5742323]
[paragraph, [77.0, 1020.0, 346.0, 36.0], IR3lGatyUE, 5742323]
[paragraph, [77.0, 1056.0, 346.0, 36.0], IR3lGatyUE, 5742323]
[paragraph, [77.0, 1092.0, 346.0, 36.0], IR3lGatyUE, 5742323]
[paragraph, [77.0, 1128.0, 346.0, 36.0], IR3lGatyUE, 5742323]
[section-title, [795.0, 1118.0, 237.0, 49.5], fmFK-VPYa1, 5742323]
[section-title, [795.0, 1167.5, 237.0, 49.5], fmFK-VPYa1, 5742323]
[paragraph, [71.0, 1195.0, 353.0, 36.0], MwM0lwSZVM, 5742323]
[paragraph, [71.0, 1231.0, 353.0, 36.0], MwM0lwSZVM, 5742323]
[paragraph, [71.0, 1267.0, 353.0, 36.0], MwM0lwSZVM, 5742323]
[paragraph, [71.0, 1303.0, 353.0, 36.0], MwM0lwSZVM, 5742323]
[paragraph, [71.0, 1339.0, 353.0, 36.0], MwM0lwSZVM, 5742323]
[paragraph, [71.0, 1375.0, 353.0, 36.0], MwM0lwSZVM, 5742323]
[paragraph, [71.0, 1411.0, 353.0, 36.0], MwM0lwSZVM, 5742323]
[paragraph, [71.0, 1447.0, 353.0, 36.0], MwM0lwSZVM, 5742323]
[paragraph, [789.0, 1224.0, 347.0, 36.0], SSOuNldzVh, 5742323]
[paragraph, [789.0, 1260.0, 347.0, 36.0], SSOuNldzVh, 5742323]
[paragraph, [789.0, 1296.0, 347.0, 36.0], SSOuNldzVh, 5742323]
[paragraph, [789.0, 1332.0, 347.0, 36.0], SSOuNldzVh, 5742323]
[paragraph, [789.0, 1368.0, 347.0, 36.0], SSOuNldzVh, 5742323]
[paragraph, [789.0, 1404.0, 347.0, 36.0], SSOuNldzVh, 5742323]
[paragraph, [789.0, 1440.0, 347.0, 36.0], SSOuNldzVh, 5742323]
[paragraph, [427.0, 1330.0, 347.0, 36.0], CpBw4zU9IH, 5742323]
[paragraph, [427.0, 1366.0, 347.0, 36.0], CpBw4zU9IH, 5742323]
[paragraph, [427.0, 1402.0, 347.0, 36.0], CpBw4zU9IH, 5742323]
[paragraph, [427.0, 1438.0, 347.0, 36.0], CpBw4zU9IH, 5742323]
