[1818, 1374]
[folio, [626.0, 114.0, 111.0, 36.0], shoonya_0s53Z3PDGWLRNB, 5682967]
[paragraph, [101.0, 556.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 592.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 655.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 691.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 727.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 763.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 799.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 835.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 871.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 907.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 943.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 979.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 1015.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 1051.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 1087.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 1123.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 1159.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [101.0, 1195.0, 572.0, 36.0], f6QEi7pajA, 5682967]
[paragraph, [693.0, 913.0, 561.0, 36.0], R03ALtKDaW, 5682967]
[paragraph, [693.0, 949.0, 561.0, 36.0], R03ALtKDaW, 5682967]
[paragraph, [693.0, 985.0, 561.0, 36.0], R03ALtKDaW, 5682967]
[paragraph, [734.0, 1040.0, 110.0, 36.0], ZX-WLYjRhN, 5682967]
[paragraph, [731.0, 1083.0, 348.0, 36.0], ev4QM-i42e, 5682967]
[paragraph, [729.0, 1168.0, 391.0, 36.0], 2RB7HKOzLg, 5682967]
[paragraph, [731.0, 1212.0, 227.0, 36.0], WUmu_hSKeI, 5682967]
[paragraph, [98.0, 1251.0, 571.0, 36.0], OC3rnAfWqa, 5682967]
[paragraph, [98.0, 1287.0, 571.0, 36.0], OC3rnAfWqa, 5682967]
[paragraph, [98.0, 1323.0, 571.0, 36.0], OC3rnAfWqa, 5682967]
[paragraph, [98.0, 1359.0, 571.0, 36.0], OC3rnAfWqa, 5682967]
[paragraph, [737.0, 1335.0, 512.0, 36.0], rLIZl8WLD1, 5682967]
[paragraph, [735.0, 1378.0, 132.0, 36.0], Eo3qVqtDyt, 5682967]
[paragraph, [100.0, 1421.0, 572.0, 36.0], OOE2nZd9R1, 5682967]
[paragraph, [100.0, 1457.0, 572.0, 36.0], OOE2nZd9R1, 5682967]
[paragraph, [100.0, 1493.0, 572.0, 36.0], OOE2nZd9R1, 5682967]
[paragraph, [100.0, 1529.0, 572.0, 36.0], OOE2nZd9R1, 5682967]
[paragraph, [100.0, 1565.0, 572.0, 36.0], OOE2nZd9R1, 5682967]
[paragraph, [100.0, 1601.0, 572.0, 36.0], OOE2nZd9R1, 5682967]
[paragraph, [100.0, 1637.0, 572.0, 36.0], OOE2nZd9R1, 5682967]
[paragraph, [100.0, 1673.0, 572.0, 36.0], OOE2nZd9R1, 5682967]
[paragraph, [705.0, 1423.0, 562.0, 36.0], vli4xQohdu, 5682967]
[paragraph, [705.0, 1459.0, 562.0, 36.0], vli4xQohdu, 5682967]
[paragraph, [705.0, 1495.0, 562.0, 36.0], vli4xQohdu, 5682967]
[paragraph, [733.0, 1550.0, 386.0, 36.0], Z9KCQRIjDW, 5682967]
[paragraph, [737.0, 1592.0, 209.0, 36.0], boftkQf-ce, 5682967]
[paragraph, [698.0, 1631.0, 567.0, 36.0], -6l9P1q_ih, 5682967]
[paragraph, [698.0, 1667.0, 567.0, 36.0], -6l9P1q_ih, 5682967]
