[1518, 1004]
[folio, [405.0, 45.0, 214.0, 36.0], shoonya_15sGM1FX0VIUG0, 6471579]
[paragraph, [610.0, 602.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [610.0, 638.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [610.0, 674.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [610.0, 710.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [610.0, 746.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [610.0, 782.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [610.0, 818.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [610.0, 854.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [610.0, 890.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [55.0, 556.0, 296.0, 36.0], shoonya_1s2Y14M46Y66KH, 6471579]
[paragraph, [55.0, 592.0, 296.0, 36.0], shoonya_1s2Y14M46Y66KH, 6471579]
[paragraph, [55.0, 628.0, 296.0, 36.0], shoonya_1s2Y14M46Y66KH, 6471579]
[paragraph, [55.0, 664.0, 296.0, 36.0], shoonya_1s2Y14M46Y66KH, 6471579]
[paragraph, [55.0, 700.0, 296.0, 36.0], shoonya_1s2Y14M46Y66KH, 6471579]
[paragraph, [55.0, 736.0, 296.0, 36.0], shoonya_1s2Y14M46Y66KH, 6471579]
[paragraph, [55.0, 772.0, 296.0, 36.0], shoonya_1s2Y14M46Y66KH, 6471579]
[paragraph, [55.0, 808.0, 296.0, 36.0], shoonya_1s2Y14M46Y66KH, 6471579]
[paragraph, [51.0, 857.0, 304.0, 36.0], shoonya_0s8R7AWVANB9JB, 6471579]
[paragraph, [51.0, 893.0, 304.0, 36.0], shoonya_0s8R7AWVANB9JB, 6471579]
[paragraph, [51.0, 929.0, 304.0, 36.0], shoonya_0s8R7AWVANB9JB, 6471579]
[paragraph, [51.0, 965.0, 304.0, 36.0], shoonya_0s8R7AWVANB9JB, 6471579]
[author, [383.0, 931.0, 238.0, 36.0], shoonya_13s7204IZEARGV, 6471579]
[paragraph, [646.0, 939.0, 304.0, 36.0], shoonya_2s3IX7R3FI8Z1H, 6471579]
[paragraph, [646.0, 975.0, 304.0, 36.0], shoonya_2s3IX7R3FI8Z1H, 6471579]
[paragraph, [51.0, 1013.0, 429.0, 36.0], shoonya_6s49JIEDRN0UR0, 6471579]
[paragraph, [51.0, 1049.0, 429.0, 36.0], shoonya_6s49JIEDRN0UR0, 6471579]
[paragraph, [51.0, 1085.0, 429.0, 36.0], shoonya_6s49JIEDRN0UR0, 6471579]
[paragraph, [51.0, 1121.0, 429.0, 36.0], shoonya_6s49JIEDRN0UR0, 6471579]
[paragraph, [51.0, 1157.0, 429.0, 36.0], shoonya_6s49JIEDRN0UR0, 6471579]
[paragraph, [51.0, 1193.0, 429.0, 36.0], shoonya_6s49JIEDRN0UR0, 6471579]
[paragraph, [51.0, 1229.0, 429.0, 36.0], shoonya_6s49JIEDRN0UR0, 6471579]
[paragraph, [51.0, 1265.0, 429.0, 36.0], shoonya_6s49JIEDRN0UR0, 6471579]
[paragraph, [530.0, 1013.0, 421.0, 36.0], shoonya_8sYWCLEDY1ZF6E, 6471579]
[paragraph, [530.0, 1049.0, 421.0, 36.0], shoonya_8sYWCLEDY1ZF6E, 6471579]
[paragraph, [530.0, 1085.0, 421.0, 36.0], shoonya_8sYWCLEDY1ZF6E, 6471579]
[paragraph, [529.0, 1142.0, 425.0, 36.0], kqjr9uWuqr, 6471579]
[paragraph, [529.0, 1178.0, 425.0, 36.0], kqjr9uWuqr, 6471579]
[paragraph, [529.0, 1214.0, 425.0, 36.0], kqjr9uWuqr, 6471579]
[paragraph, [529.0, 1250.0, 425.0, 36.0], kqjr9uWuqr, 6471579]
[paragraph, [529.0, 1286.0, 425.0, 36.0], kqjr9uWuqr, 6471579]
[paragraph, [529.0, 1322.0, 425.0, 36.0], kqjr9uWuqr, 6471579]
[paragraph, [529.0, 1358.0, 425.0, 36.0], kqjr9uWuqr, 6471579]
[paragraph, [48.0, 1316.0, 433.0, 36.0], shoonya_7sNDDQ4J9HMES3, 6471579]
[paragraph, [48.0, 1352.0, 433.0, 36.0], shoonya_7sNDDQ4J9HMES3, 6471579]
[folio, [444.0, 1432.0, 80.0, 36.0], shoonya_16sP54LJBTFTD1, 6471579]
